# 
# Header Description:
# 
# Version: v3.0.3.1 Platform: 11 Manufacturer: OnePlus Model: HD1901
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
Status,0,47,0,1,12,1575420032,18.00,174.00,12.00,0,1,0,18.0
Status,0,47,1,1,13,1575420032,16.30,68.00,35.00,0,1,0,16.3
Status,0,47,2,1,15,1575420032,17.30,112.00,66.00,0,1,0,17.3
Status,0,47,3,1,2,1575420032,0.00,84.00,14.00,0,1,0,0.0
Status,0,47,4,1,5,1575420032,0.00,30.00,25.00,0,1,0,0.0
Status,0,47,5,1,10,1575420032,0.00,240.00,14.00,0,1,0,0.0
Status,0,47,6,1,18,1575420032,0.00,326.00,30.00,0,1,0,0.0
Status,0,47,7,1,20,1575420032,0.00,46.00,3.00,0,1,0,0.0
Status,0,47,8,1,23,1575420032,0.00,260.00,39.00,0,1,0,0.0
Status,0,47,9,1,24,1575420032,0.00,156.00,9.00,0,1,0,0.0
Status,0,47,10,1,25,1575420032,0.00,213.00,30.00,0,1,0,0.0
Status,0,47,11,1,26,1575420032,0.00,300.00,5.00,0,1,0,0.0
Status,0,47,12,1,29,1575420032,0.00,352.00,73.00,0,1,0,0.0
Status,0,47,13,3,14,1598062464,0.00,0.00,0.00,0,1,0,0.0
Status,0,47,14,3,2,1599750016,0.00,205.00,18.00,0,1,0,0.0
Status,0,47,15,3,22,1600312448,0.00,97.00,26.00,0,1,0,0.0
Status,0,47,16,3,13,1600875008,0.00,236.00,5.00,0,1,0,0.0
Status,0,47,17,3,1,1602562560,0.00,215.00,78.00,0,1,0,0.0
Status,0,47,18,3,24,1603124992,0.00,334.00,16.00,0,1,0,0.0
Status,0,47,19,3,23,1603687552,0.00,18.00,42.00,0,1,0,0.0
Status,0,47,20,3,7,1604812544,0.00,0.00,0.00,0,1,0,0.0
Status,0,47,21,3,8,1605374976,0.00,25.00,46.00,0,1,0,0.0
Status,0,47,22,5,16,1561097984,20.40,120.00,37.00,0,1,0,20.4
Status,0,47,23,5,9,1561097984,19.10,144.00,33.00,0,1,0,19.1
Status,0,47,24,5,1,1561097984,0.00,95.00,14.00,0,1,0,0.0
Status,0,47,25,5,2,1561097984,0.00,158.00,69.00,0,1,0,0.0
Status,0,47,26,5,3,1561097984,0.00,112.00,48.00,0,1,0,0.0
Status,0,47,27,5,5,1561097984,0.00,230.00,59.00,0,1,0,0.0
Status,0,47,28,5,6,1561097984,0.00,127.00,37.00,0,1,0,0.0
Status,0,47,29,5,7,1561097984,0.00,163.00,24.00,0,1,0,0.0
Status,0,47,30,5,8,1561097984,0.00,29.00,30.00,0,1,0,0.0
Status,0,47,31,5,10,1561097984,0.00,174.00,35.00,0,1,0,0.0
Status,0,47,32,5,12,1561097984,0.00,319.00,5.00,0,1,0,0.0
Status,0,47,33,5,13,1561097984,0.00,14.00,40.00,0,1,0,0.0
Status,0,47,34,5,19,1561097984,0.00,30.00,41.00,0,1,0,0.0
Status,0,47,35,5,21,1561097984,0.00,222.00,25.00,0,1,0,0.0
Status,0,47,36,5,22,1561097984,0.00,253.00,78.00,0,1,0,0.0
Status,0,47,37,5,26,1561097984,0.00,233.00,4.00,0,1,0,0.0
Status,0,47,38,4,195,1575420032,0.00,104.00,28.00,0,1,0,0.0
Status,0,47,39,6,4,1575420032,0.00,201.00,17.00,0,1,0,0.0
Status,0,47,40,6,7,1575420032,0.00,0.00,0.00,0,1,0,0.0
Status,0,47,41,6,12,1575420032,0.00,323.00,25.00,0,1,0,0.0
Status,0,47,42,6,19,1575420032,0.00,147.00,63.00,0,1,0,0.0
Status,0,47,43,6,24,1575420032,0.00,291.00,13.00,0,1,0,0.0
Status,0,47,44,6,26,1575420032,0.00,80.00,23.00,0,1,0,0.0
Status,0,47,45,6,31,1575420032,0.00,243.00,28.00,0,1,0,0.0
Status,0,47,46,6,33,1575420032,0.00,25.00,44.00,0,1,0,0.0
Raw,1651496096436,414628292000000,,,-1335116686144921080,0.43143510818481445,1259.0889818966389,-85.53633601496811,45.029476404090374,29,12,0.0,16399,132914354726004,106,18.0,544.5729370117188,6.627500534057617,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.34,14.4,0.0,0.0,,,C,
Raw,1651496096436,414628292000000,,,-1335116686144921080,0.43143510818481445,1259.0889818966389,-85.53633601496811,45.029476404090374,29,13,0.0,16399,132914363397968,139,16.3,144.12843322753906,6.1010003089904785,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.34,12.700000000000001,0.0,0.0,,,C,
Raw,1651496096436,414628292000000,,,-1335116686144921080,0.43143510818481445,1259.0889818966389,-85.53633601496811,45.029476404090374,29,15,0.0,16399,132914368935176,122,17.3,-165.4318084716797,8.238500595092773,16,0.0,0.0,1.57542003E9,,,,0,,1,-0.34,13.700000000000001,0.0,0.0,,,C,
Fix,FLP,17.4070128,78.5195725,437.699982,0.018720,21.832001,75.123451,1651496094921,0.0,0.0,79530720000000,1.1707563
Fix,NLP,17.4070127,78.5195726,437.699982,0.000000,20.000000,0.000000,1651496094921,0.0,0.0,79530720000000,1.1707563
Status,0,47,0,1,12,1575420032,18.00,174.00,12.00,0,1,0,18.0
Status,0,47,1,1,13,1575420032,16.30,68.00,35.00,0,1,0,16.3
Status,0,47,2,1,15,1575420032,21.90,112.00,66.00,0,1,0,21.9
Status,0,47,3,1,2,1575420032,0.00,84.00,14.00,0,1,0,0.0
Status,0,47,4,1,5,1575420032,0.00,30.00,25.00,0,1,0,0.0
